entity-type,precision,recall,f1-score,support
0,0.8890486431626513,0.9580745543793863,0.9222718698494068,76803.0
alarm_type,0.8,0.5333333333333333,0.64,30.0
app_name,0.8125,0.527027027027027,0.6393442622950819,74.0
artist_name,0.626,0.5048387096774194,0.5589285714285716,620.0
audiobook_author,0.0,0.0,0.0,28.0
audiobook_name,0.038461538461538464,0.014492753623188406,0.021052631578947368,276.0
business_name,0.5339285714285714,0.3367117117117117,0.4129834254143646,888.0
business_type,0.7426900584795322,0.3469945355191257,0.472998137802607,366.0
change_amount,0.8607594936708861,0.41975308641975306,0.5643153526970954,162.0
coffee_type,0.8,0.16326530612244897,0.27118644067796605,49.0
color_type,0.8345323741007195,0.6666666666666666,0.7412140575079872,174.0
cooking_type,0.0,0.0,0.0,23.0
currency_name,0.9434673366834171,0.8763127187864644,0.9086509376890503,857.0
date,0.829981718464351,0.8468174399626953,0.8383150605885746,4289.0
definition_word,0.48732394366197185,0.33657587548638135,0.3981588032220944,514.0
device_type,0.8108448928121059,0.8180661577608143,0.8144395186827107,786.0
drink_type,0.0,0.0,0.0,22.0
email_address,0.0,0.0,0.0,30.0
email_folder,0.0,0.0,0.0,3.0
event_name,0.5387816874763526,0.547271329746349,0.5429933269780742,2602.0
food_type,0.6150121065375302,0.34794520547945207,0.4444444444444444,730.0
game_name,0.0,0.0,0.0,318.0
game_type,0.0,0.0,0.0,3.0
general_frequency,0.6298342541436464,0.44881889763779526,0.5241379310344827,254.0
house_place,0.8545918367346939,0.7938388625592417,0.8230958230958232,422.0
ingredient,0.0,0.0,0.0,52.0
joke_type,0.8846153846153846,0.6133333333333333,0.7244094488188976,75.0
list_name,0.743801652892562,0.4753521126760563,0.5800214822771214,568.0
meal_type,0.7545454545454545,0.7477477477477478,0.751131221719457,111.0
media_type,0.625615763546798,0.26458333333333334,0.37188872620790625,960.0
movie_name,0.0,0.0,0.0,50.0
movie_type,0.0,0.0,0.0,24.0
music_album,0.0,0.0,0.0,8.0
music_descriptor,0.11627906976744186,0.034722222222222224,0.05347593582887701,144.0
music_genre,0.7435233160621761,0.7473958333333334,0.7454545454545454,384.0
news_topic,0.2723809523809524,0.2348111658456486,0.25220458553791886,609.0
order_type,0.8142857142857143,0.5728643216080402,0.672566371681416,199.0
person,0.688588007736944,0.5769854132901134,0.6278659611992945,1851.0
personal_info,0.1,0.00966183574879227,0.017621145374449337,207.0
place_name,0.6169188445667125,0.624,0.620439218398755,2875.0
player_setting,0.5753424657534246,0.24489795918367346,0.34355828220858897,343.0
playlist_name,0.58,0.2914572864321608,0.38795986622073575,199.0
podcast_descriptor,0.0,0.0,0.0,268.0
podcast_name,0.022988505747126436,0.010362694300518135,0.014285714285714285,193.0
query_detail,0.0,0.0,0.0,7.0
radio_name,0.0,0.0,0.0,737.0
relation,0.7957317073170732,0.6013824884792627,0.6850393700787402,434.0
song_name,0.2611607142857143,0.20930232558139536,0.2323733862959285,559.0
sport_type,0.0,0.0,0.0,16.0
time,0.803602355386214,0.7907293796864349,0.7971138979556778,2934.0
time_zone,0.6923076923076923,0.32608695652173914,0.4433497536945813,138.0
timeofday,0.8603696098562629,0.918859649122807,0.8886532343584306,456.0
transport_agency,0.7142857142857143,0.14285714285714285,0.23809523809523808,70.0
transport_descriptor,0.0,0.0,0.0,34.0
transport_name,0.0,0.0,0.0,50.0
transport_type,0.1111111111111111,0.001838235294117647,0.003616636528028933,544.0
weather_descriptor,0.7443946188340808,0.4617524339360223,0.5699570815450644,719.0
accuracy,0.844292026643804,0.844292026643804,0.844292026643804,0.844292026643804
macro avg,0.44157205458074605,0.3225927726742657,0.36069494208337977,106141.0
weighted avg,0.816216256205457,0.844292026643804,0.8260351728739161,106141.0
