intent,precision,recall,f1-score,support,classifier,encoding
volume_other,0.6153846153846154,0.3333333333333333,0.4324324324324324,24.0,DecisionTreeClassifier,tfidf
greet,0.5555555555555556,0.4166666666666667,0.4761904761904762,24.0,DecisionTreeClassifier,tfidf
dislikeness,0.5555555555555556,0.2,0.2941176470588235,25.0,XGBClassifier,tfidf
hue_lighton,0.7142857142857143,0.5263157894736842,0.6060606060606061,38.0,RandomForestClassifier,tfidf
volume_down,0.9166666666666666,0.6027397260273972,0.7272727272727272,73.0,LogisticRegression,tfidf
wemo_on,0.9814814814814816,0.6625,0.7910447761194029,80.0,LogisticRegression,tfidf
settings,0.6785714285714286,0.475,0.5588235294117648,80.0,XGBClassifier,tfidf
addcontact,0.7605633802816901,0.6067415730337079,0.675,89.0,RandomForestClassifier,tfidf
convert,0.7941176470588235,0.5567010309278351,0.6545454545454544,97.0,XGBClassifier,tfidf
wemo_off,0.84375,0.826530612244898,0.8350515463917526,98.0,RandomForestClassifier,tfidf
movies,0.8412698412698413,0.4862385321100917,0.6162790697674418,109.0,LogisticRegression,tfidf
joke,0.9553571428571428,0.8842975206611571,0.9184549356223176,121.0,XGBClassifier,tfidf
hue_lightdim,0.9607843137254902,0.784,0.8634361233480177,125.0,LogisticRegression,tfidf
hue_lightup,0.902439024390244,0.7872340425531915,0.8409090909090909,141.0,LogisticRegression,tfidf
volume_up,0.8045112781954887,0.7430555555555556,0.7725631768953068,144.0,RandomForestClassifier,tfidf
maths,0.935483870967742,0.554140127388535,0.696,157.0,LogisticRegression,tfidf
volume_mute,0.8709677419354839,0.6625766871165644,0.7526132404181185,163.0,RandomForestClassifier,tfidf
cleaning,0.9857142857142858,0.8023255813953488,0.8846153846153846,172.0,LogisticRegression,tfidf
taxi,0.9545454545454546,0.918032786885246,0.935933147632312,183.0,XGBClassifier,tfidf
traffic,0.9685534591194968,0.7938144329896907,0.8725212464589234,194.0,LogisticRegression,tfidf
coffee,0.9883040935672516,0.8578680203045685,0.9184782608695652,197.0,LogisticRegression,tfidf
order,0.768361581920904,0.6834170854271356,0.723404255319149,199.0,RandomForestClassifier,tfidf
likeness,0.6797385620915033,0.52,0.5892351274787535,200.0,XGBClassifier,tfidf
querycontact,0.654054054054054,0.5525114155251142,0.599009900990099,219.0,XGBClassifier,tfidf
hue_lightchange,0.8737864077669902,0.8071748878923767,0.8391608391608392,223.0,LogisticRegression,tfidf
game,0.8722222222222222,0.6709401709401709,0.7584541062801932,234.0,RandomForestClassifier,tfidf
audiobook,0.9096045197740112,0.6736401673640168,0.7740384615384617,239.0,RandomForestClassifier,tfidf
ticket,0.8368200836820083,0.8368200836820083,0.8368200836820082,239.0,RandomForestClassifier,tfidf
hue_lightoff,0.9063829787234042,0.8693877551020408,0.8875,245.0,XGBClassifier,tfidf
locations,0.8417721518987342,0.51953125,0.6425120772946861,256.0,LogisticRegression,tfidf
stock,0.9475982532751092,0.8066914498141264,0.8714859437751004,269.0,XGBClassifier,tfidf
createoradd,0.7483443708609272,0.7687074829931972,0.7583892617449663,294.0,RandomForestClassifier,tfidf
events,0.8324022346368715,0.4685534591194968,0.5995975855130784,318.0,LogisticRegression,tfidf
podcasts,0.986970684039088,0.816711590296496,0.8938053097345133,371.0,LogisticRegression,tfidf
currency,0.957983193277311,0.9047619047619048,0.9306122448979592,378.0,LogisticRegression,tfidf
recipe,0.8450292397660819,0.7118226600985221,0.7727272727272727,406.0,XGBClassifier,tfidf
definition,0.8405172413793104,0.7959183673469388,0.8176100628930818,490.0,XGBClassifier,tfidf
post,0.8952772073921971,0.8059149722735675,0.8482490272373541,541.0,RandomForestClassifier,tfidf
radio,0.9090909090909092,0.7734806629834254,0.835820895522388,543.0,LogisticRegression,tfidf
sendemail,0.695356738391846,0.8911465892597968,0.7811704834605598,689.0,RandomForestClassifier,tfidf
remove,0.9644495412844036,0.8625641025641025,0.9106659447753114,975.0,XGBClassifier,tfidf
quirky,0.4631147540983606,0.3383233532934132,0.3910034602076124,1002.0,XGBClassifier,tfidf
factoid,0.689010989010989,0.6017274472168906,0.6424180327868853,1042.0,LogisticRegression,tfidf
music,0.7808946171341926,0.871404399323181,0.8236705317872851,1182.0,XGBClassifier,tfidf
set,0.8443181818181819,0.8639534883720931,0.8540229885057472,1720.0,LogisticRegression,tfidf
query,0.6991596638655462,0.8388506133422954,0.76266137040715,5951.0,RandomForestClassifier,tfidf
